age_range,book_author,rating_count
26-35,Steven P. Shelov,10
26-35,M.E. Cooper,10
26-35,Maureen Howard,10
26-35,Robert N. Charrette,10
26-35,David Suzuki,10
26-35,Dorie Graham,10
26-35,Craig Dirgo,10
26-35,Craig Claiborne,10
26-35,Sherryl Jordan,10
26-35,Gayle Wilson,10
26-35,Rebecca Bradley,10
26-35,Dee Brown,10
26-35,Lynn Hightower,10
26-35,Minne,10
26-35,Tanuja Desai Hidier,10
26-35,RUSSELL MARTIN,10
26-35,Wendy Leigh,10
26-35,Nigel Tranter,10
26-35,Lyndon Hardy,10
26-35,Ming-Dao Deng,10
26-35,Holt,10
26-35,John Burnham Schwartz,10
26-35,Matthew Pearl,10
26-35,Matthew J. Costello,10
26-35,Evelyn Anthony,10
26-35,Graham Salisbury,10
26-35,Fran Manushkin,10
26-35,Janet Morris,10
26-35,Houghton Mifflin Company,10
26-35,Danny King,10
26-35,Theo. Lesieg,10
26-35,Richard Roeper,10
26-35,Debra Waterhouse,10
26-35,Barbara Conklin,10
26-35,Joyce Johnson,10
26-35,Bharti Kirchner,10
26-35,Grant R. Jeffrey,10
26-35,Robert Sheckley,10
26-35,Jillian Hunter,10
26-35,Alan Hollinghurst,10
26-35,Andre Dubus,10
26-35,Rice,10
26-35,Edith Nesbit,10
26-35,Ann C. Fallon,10
26-35,Frank Schaeffer,10
26-35,Florence Littauer,10
26-35,Donald F Glut,10
26-35,Ruth Hamilton,10
26-35,Robert Thurston,10
26-35,Lucia Capacchione,10
26-35,Ski Michaels,10
26-35,Antonya Nelson,10
26-35,Debra Brown,10
26-35,Hugh Cook,10
26-35,Consumer Guide,10
26-35,Nancy McKenzie,10
26-35,Mary Wings,10
26-35,Robert Wright,10
26-35,Robert Zubrin,10
26-35,Karen Fox,10
26-35,Hugh Pentecost,10
26-35,Stanislav LEM,10
26-35,Deborah Spungen,10
26-35,David Rees,10
26-35,Michael Rosen,10
26-35,Daniel Handler,10
26-35,Conrad Richter,10
26-35,David R. Williams,10
26-35,Walter Kirn,10
26-35,Alistair Maclean,10
26-35,Walter J. Williams,10
26-35,Walter Irwin,10
26-35,IRA LEVIN,10
26-35,Lorena McCourtney,10
26-35,Mary Oliver,10
26-35,Teresa Carpenter,10
26-35,Mary Monroe,10
26-35,Guinness,10
26-35,Andrea Ashworth,10
26-35,Richard Addison,10
26-35,Connie Fowler,10
26-35,Connie Fletcher,10
26-35,Joan Slonczewski,10
26-35,Steven Callahan,10
26-35,Joss Whedon,10
26-35,Federica de Cesco,10
26-35,Walt Disney Company,10
26-35,Wally Wang,10
26-35,Brian Aldiss,10
26-35,Barbara Daly,10
26-35,S. K. McClafferty,10
26-35,Michael Ridpath,10
26-35,Ian Stewart,10
26-35,Michael Patrick MacDonald,10
26-35,Richard Zacks,10
26-35,Liz Fielding,10
26-35,Anny Duperey,10
26-35,Little Golden Book Staff,10
26-35,Barry Gifford,10
26-35,Lisette Belisle,10
26-35,Charles Givens,10
26-35,Idries Shah,10
26-35,Natalie Robins,10
26-35,Bill Keane,10
26-35,Ilene Rosenzweig,10
26-35,R. A. Montgomery,10
26-35,Earl Mindell,10
26-35,Colleen O'Shaughnessy McKenna,10
26-35,Dana Cameron,10
26-35,Allende,10
26-35,Mary Jane Maffini,10
26-35,Benito Perez Galdos,10
26-35,Diana L. Paxson,10
26-35,ERNEST J. GAINES,10
26-35,Robin Norwood,10
26-35,Nan McCarthy,10
26-35,John Shelby Spong,10
26-35,Lisa Gregory,10
26-35,Benjamin Anastas,10
26-35,Rick  Kirkman,10
26-35,Bill McLain,10
26-35,Allia Zobel,10
26-35,Barbara Deangelis,10
26-35,John S. Marr,10
26-35,Nicholas Gage,10
26-35,Dan Reed,10
26-35,Elizabeth Coatsworth,10
26-35,Terence M. Green,10
26-35,Ingo Schulze,10
26-35,Sue Peters,10
26-35,Linda Wolfe,10
26-35,Bill Peet,10
26-35,Sue Patton Thoele,10
26-35,Thomas Block,10
26-35,SHERI REYNOLDS,10
26-35,Richard Branson,10
26-35,Donald Kingsbury,10
26-35,Linda Rosenkrantz,10
26-35,Linda Needham,10
26-35,Thomas Jefferson,10
26-35,Coleman Barks,10
26-35,Nancy Newman,10
26-35,Janet Gleeson,10
26-35,STEPHEN BAKER,10
26-35,Gabrielle Roy,10
26-35,Zoe Jenny,10
26-35,Richard Bruce Wright,10
26-35,Rebecca Miller,10
26-35,Paul Wilson,10
26-35,Patricia Werner,10
26-35,Zig Ziglar,10
26-35,Al Ries,10
26-35,Irving Howe,10
26-35,Molly O'Keefe,10
26-35,Diane L. Carey,10
26-35,Karen Hall,10
26-35,Rod McKuen,10
26-35,Clint Willis,10
26-35,Paul Vincent,10
26-35,Martin Page,10
26-35,Michael Herr,10
26-35,Bill Slavicsek,10
26-35,Jim Keeble,10
26-35,Isabel Fonseca,10
26-35,Joel Achenbach,10
26-35,Mike Peters,10
26-35,Ansel Adams,10
26-35,Sabine Durrant,10
26-35,Lilla Zuckerman,10
26-35,Alejo Carpentier,10
26-35,Zalata Filipovic,10
26-35,Zachary Alan Fox,10
26-35,Lilian Lee,10
26-35,Jim Brown,10
26-35,KEN WILBER,10
26-35,Violet Winspear,10
26-35,Brian Stableford,10
26-35,Clement Clarke Moore,10
26-35,Clement C. Moore,10
26-35,Martin Heidegger,10
26-35,Qiu Xiaolong,10
26-35,George Sand,10
26-35,Leslie O'Mara,10
26-35,Alexandra Parsons,10
26-35,Stobie Piel,10
26-35,Leslie McGuire,10
26-35,Leslie Linsley,10
26-35,J Smith,10
26-35,Vincent  Douglas,10
26-35,Clavell,10
26-35,Michael Gerber,10
26-35,Camilla Gibb,10
26-35,Ralph Helfer,10
26-35,Michael Dimercurio,10
26-35,Brian Weiss,10
26-35,Amy Frazier,10
26-35,Michael DiMercurio,10
26-35,Jere Longman,10
26-35,Victoria Malvey,10
26-35,David Ignatius,10
26-35,Dennis Cooper,10
26-35,Patrice Kindl,10
26-35,Joseph Roth,10
26-35,Flann O'Brien,10
26-35,Victor O'Reilly,10
26-35,Lennart Nilsson,10
26-35,J. Krishnamurti,10
26-35,Leland Gregory,10
26-35,Clarke C.,10
26-35,Penelope Leach,10
26-35,Clark Howard,10
26-35,Michael Curtis Ford,10
26-35,Martha Hix,10
26-35,J. P. Donleavy,10
26-35,ROBERT T. BAKKER,10
26-35,Vicki Hinze,10
26-35,Norman Bogner,10
26-35,Franklin Dixon,10
26-35,Karen Harbaugh,10
26-35,Sam Shepard,10
26-35,Clare de Vries,10
26-35,Roger Housden,10
26-35,Michael Cordy,10
26-35,Joseph Olshan,10
26-35,Yevgeny Zamyatin,10
26-35,Joseph Mitchell,10
26-35,J. T. LeRoy,10
26-35,Clare Curzon,10
26-35,Veronica Sattler,10
26-35,Jincy Willett,10
26-35,Jeroen Brouwers,10
26-35,Roger Kahn,10
26-35,Charles Willeford,10
26-35,Samuel B. Griffith,10
26-35,Yasmina Khadra,10
26-35,Jerome D. Salinger,10
26-35,Robert A. Wilson,10
26-35,Ann Louise Gittleman,10
26-35,Roger Lea MacBride,10
26-35,B. F. Skinner,10
26-35,Michael C. Eberhardt,10
26-35,JAMES A. MICHENER,10
26-35,JAMES ALEXANDER THOM,10
26-35,JAMES DICKEY,10
26-35,Carsten Stroud,10
26-35,Steven Gould,10
26-35,Laurence Sterne,10
26-35,Priscilla Beaulieu Presley,10
26-35,Laurence G. Boldt,10
26-35,Bruce Brooks,10
26-35,Lauren Brooke,10
26-35,Jim Marrs,10
26-35,Faith Popcorn,10
26-35,Mark Waid,10
26-35,Michael Bishop,10
26-35,Paul West,10
26-35,Robert Anton Wilson,10
26-35,Black Elk,10
26-35,Andy Mangels,10
26-35,Alexander Steele,10
26-35,Joseph Krumgold,10
26-35,Muriel Jenson,10
26-35,Laura Joffe Numeroff,10
26-35,Roger von Oech,10
26-35,Stephanie Coontz,10
26-35,Bruce Nash,10
26-35,Annie Griffin,10
26-35,Joe Cummings,10
26-35,JULIE GARWOOD,10
26-35,Mark I. Pinsky,10
26-35,Stephanie Doyle,10
26-35,Laura Antoniou,10
26-35,Ralph Arnote,10
26-35,Lass Small,10
26-35,Arnold Bennett,10
26-35,Roland Barthes,10
26-35,John Le CarrÃ©,10
26-35,Robert B. Reich,10
26-35,Judith Barad,10
26-35,Mark Burnell,10
26-35,Norman Spinrad,10
26-35,THOMAS HARDY,10
26-35,Carolina Garcia-Aguilera,10
26-35,DEEPAK CHOPRA,10
26-35,Wladyslaw Szpilman,10
26-35,Larry Beinhart,10
26-35,Athena Starwoman,10
26-35,Alberto Manguel,10
26-35,Mark Barrowcliffe,10
26-35,DAWN POWELL,10
26-35,Julie Anne Peters,10
26-35,Galadriel Waters,10
26-35,Tschingis Aitmatow,10
26-35,Elizabeth Mayne,10
26-35,Gervase Phinn,10
26-35,Norman Weinberger,10
26-35,Robert Cowley,10
26-35,Jane Rule,10
26-35,Trezza Azzopardi,10
26-35,Sarah Gregory,10
26-35,LINDA FRANCIS LEE,10
26-35,TESS URIZA HOLTHE,10
26-35,LEWIS RICHMOND,10
26-35,Tracy Johnston,10
26-35,Marilyn Sadler,10
26-35,Cherie Carter-Scott,10
26-35,Judith A. Lansdowne,10
26-35,LAURA ZIGMAN,10
26-35,Christopher Fowler,10
26-35,Jim Murphy,10
26-35,Robert D. Ballard,10
26-35,Susan Sloan,10
26-35,Deanna J. Conway,10
26-35,Gigi Levangie Grazer,10
26-35,Sarah Toast,10
26-35,Angus Wells,10
26-35,Tonya Pines,10
26-35,Emilie Rose,10
26-35,Tony X,10
26-35,Fiona Hood-Stewart,10
26-35,Ron Luciano,10
26-35,Barbara Gordon,10
26-35,T.R. Pearson,10
26-35,Jane Roberts Wood,10
26-35,Jean Kilbourne,10
26-35,Melissa Wiley,10
26-35,Kurt Tucholsky,10
26-35,Kurt Busiek,10
26-35,Kubler Elisabeth Ross,10
26-35,Buchi Emecheta,10
26-35,Melissa Miller,10
26-35,Nancy Geary,10
26-35,Gillian Cross,10
26-35,Jalal Al-Din Rumi,10
26-35,James,10
26-35,James A Michener,10
26-35,Joseph A. Citro,10
26-35,Knut Hamsun,10
26-35,Marianne Wesson,10
26-35,Tommy Tenney,10
26-35,Carol Dawson,10
26-35,D.A. Stern,10
26-35,Catherine Todd,10
26-35,Jane Porter,10
26-35,Kit Craig,10
26-35,Robert Ellis,10
26-35,Steven Sherrill,10
26-35,Alton Gansky,10
26-35,Kimberla Lawson Roby,10
26-35,Steve Aylett,10
26-35,Maria S. Barbo,10
26-35,Kij Johnson,10
26-35,Christine Dorsey,10
26-35,Karin Lowachee,10
26-35,Stephen A. Bly,10
26-35,Jane Dentinger,10
26-35,Simon Mawer,10
26-35,Garborgs Heart N Home,10
26-35,John A. McDougall,10
26-35,C. A. Mobley,10
26-35,Margriet de Moor,10
26-35,Margot Arnold,10
26-35,Sean McMullen,10
26-35,Phil Jackson,10
26-35,Hazelden Publishing,10
26-35,William Pene du Bois,10
26-35,Jessica Mitford,10
26-35,Ken Munro,10
26-35,Peter Gadol,10
26-35,Friedrich Duerenmatt,10
26-35,Margaret Mazzantini,9
26-35,Patricia Waddell,9
26-35,Anne Truitt,9
26-35,April Kihlstrom,9
26-35,Paul Watkins,9
26-35,Eric Idle,9
26-35,Jane Ashford,9
26-35,Elizabeth Faucher,9
26-35,Patricia Pellicane,9
26-35,Paula Marantz Cohen,9
26-35,Elizabeth Hess,9
26-35,Pauline Gedge,9
26-35,Annie Flannigan,9
26-35,Patricia Guiver,9
26-35,Julian F. Thompson,9
26-35,Payne Harrison,9
26-35,Carolyn Haines,9
26-35,Jane Donnelly,9
26-35,Annie North Bedford,9
26-35,Elizabeth Scarborough,9
26-35,Catherine Gaskin,9
26-35,John Dalmas,9
26-35,Durrenmatt,9
26-35,Edgar Lee Masters,9
26-35,Kate Allen,9
26-35,Ed Tittel,9
26-35,Ellen Bass,9
26-35,Ann Howard Creel,9
26-35,Karin Evans,9
26-35,Ellen Byerrum,9
26-35,Antwone Q. Fisher,9
26-35,Charles Stanley,9
26-35,Ellen Gould Harmon White,9
26-35,Parker J.  Palmer,9
26-35,Pere Calders,9
26-35,Ann Benson,9
26-35,Karyn Monk,9
26-35,EMILY CARMICHAEL,9
26-35,Ellis Weiner,9
26-35,Jane McCafferty,9
26-35,P Coelho,9
26-35,ELIZABETH THORNTON,9
26-35,Deirdre Bair,9
26-35,Pamela Burford,9
26-35,ELIOT WIGGINTON,9
26-35,Else Buschheuer,9
26-35,Pam McCutcheon,9
26-35,Peter Corris,9
26-35,Andy Warhol,9
26-35,Pam Johnson-Bennett,9
26-35,Antoinette Giancana,9
26-35,Steve Lopez,9
26-35,Angela Wilkes,9
26-35,Anton Szandor Lavey,9
26-35,Didier van Cauwelaert,9
26-35,PETE EARLEY,9
26-35,PATRICIA REILLY GIFF,9
26-35,E. L. Swann,9
26-35,PARNELL HALL,9
26-35,Emmanuel Carrere,9
26-35,Jane Leavy,9
26-35,Emme,9
26-35,E. F. Benson,9
26-35,Joan Borysenko,9
26-35,Milton Steinberg,9
26-35,Debra Cowan,9
26-35,Nancy Holmes,9
26-35,Charles Sheldon,9
26-35,Dianne Highbridge,9
26-35,Alex Comfort,9
26-35,Barry Hannah,9
26-35,Susan Crandall,9
26-35,Richard Calder,9
26-35,Alphonse Daudet,9
26-35,Deborah Camp,9
26-35,Nancy Gideon,9
26-35,Gail Gibbons,9
26-35,Richard E. Grant,9
26-35,Francesca Marciano,9
26-35,Julee Rosso,9
26-35,Juilene Osborne-McKnight,9
26-35,ROBERT SIEGEL,9
26-35,Mike Daisey,9
26-35,Susan Crain Bakos,9
26-35,B.J. Oliphant,9
26-35,Debbi Fields,9
26-35,Natasha Cooper,9
26-35,Mike Ashley,9
26-35,Mikal Gilmore,9
26-35,Mihaly Csikszentmihalyi,9
26-35,Ford Madox Ford,9
26-35,Miguel De Unamuno,9
26-35,Susan Coolidge,9
26-35,Day Taylor,9
26-35,Richard Hoyt,9
26-35,Gary C. King,9
26-35,Janice Daugharty,9
26-35,Janet Palazzo-Craig,9
26-35,Albert Ellis,9
26-35,Gary Ezzo,9
26-35,Judy Jones,9
26-35,Richard Knaak,9
26-35,David Wong Louie,9
26-35,Michelin Travel Publications,9
26-35,Gary Trudeau,9
26-35,Nancy Butler,9
26-35,Michail Bulgakov,9
26-35,Michaela Roessner,9
26-35,Charles R. Pellegrino,9
26-35,Barb Hendee,9
26-35,David T. Suzuki,9
26-35,Gemma OConnor,9
26-35,BORIS AKUNIN,9
26-35,Teri Holbrook,9
26-35,Richard Pini,9
26-35,Nancy Bell,9
26-35,Susan Clymer,9
26-35,Michael Shermer,9
26-35,Geoff Dyer,9
26-35,Geoff Tibballs,9
26-35,Richard Shenkman,9
26-35,Nancy Baker,9
26-35,Judith Ryan Hendricks,9
26-35,Geoffrey Giuliano,9
26-35,Richard Thompson,9
26-35,KAREN JOY FOWLER,9
26-35,Richard Zimler,9
26-35,Judith Michaels,9
26-35,George Beahm,9
26-35,Jurek Becker,9
26-35,Michael Morpurgo,9
26-35,RAINER MARIA RILKE,9
26-35,Rick Barba,9
26-35,Judith Martin,9
26-35,George E. Verrilli,9
26-35,Michael Laimo,9
26-35,Benjamin v Stuckrad-Barre,9
26-35,David Manuel,9
26-35,Teddy Slater Margulies,9
26-35,Teddy Lenderman,9
26-35,Simon Furman,9
26-35,George S. Clason,9
26-35,Neale S. Godfrey,9
26-35,David Korr,9
26-35,CONNIE MAY FOWLER,9
26-35,David J. Lieberman,9
26-35,KATE GLEESON,9
26-35,Diane Haeger,9
26-35,Bernard MacLaverty,9
26-35,David Hoffman,9
26-35,Janet Lynnford,9
26-35,Ted Menten,9
26-35,Judith Duncan,9
26-35,Jean Giraudoux,9
26-35,Bernard Waber,9
26-35,Bernardo Atxaga,9
26-35,Barbara Brenner,9
26-35,Robert Byrne,9
26-35,COLIN L. POWELL,9
26-35,David Edmonds,9
26-35,David Eastman,9
26-35,Gillian Bradshaw,9
26-35,NANCY REAGAN,9
26-35,Judi Barrett,9
26-35,Melissa Etheridge,9
26-35,David Compton,9
26-35,Gina Berriault,9
26-35,Don Richard Riso,9
26-35,Melinda Cross,9
26-35,Melanie Rae Thon,9
26-35,Fidelis Morgan,9
26-35,Taylor McCafferty,9
26-35,Beth Wilson,9
26-35,Neil Sheehan,9
26-35,Robert H. Hopcke,9
26-35,David Borgenicht,9
26-35,Betsy Cromer Byars,9
26-35,Diane Baker Mason,9
26-35,David Bergantino,9
26-35,Glade B. Curtis M.D. OB/GYN,9
26-35,Robert Irwin,9
26-35,ANTONIA FRASER,9
26-35,Amelia Grey,9
26-35,Glen Duncan,9
26-35,Robert J. Conley,9
26-35,Joyce Tyldesley,9
26-35,Mayo Clinic,9
26-35,Susan Fletcher,9
26-35,Robert K. Cooper,9
26-35,Bettie Youngs,9
26-35,ALLAN ZOLA KRONZEK,9
26-35,Betty Edwards,9
26-35,Dave Balsiger,9
26-35,Robert MacNeil,9
26-35,Donald Antrim,9
26-35,Maureen Lee,9
26-35,Barbara Chepaitis,9
26-35,Caroline Bourne,9
26-35,Jean Thompson,9
26-35,Robert Musil,9
26-35,A.E. Parker,9
26-35,Maupassant,9
26-35,Tanya Anne Crosby,9
26-35,Mattie J. T. Stepanek,9
26-35,Matthew Thomas,9
26-35,Graeme Base,9
26-35,Graham Thomas,9
26-35,Donald Crews,9
26-35,Joyce L. Vedral,9
26-35,American Red Cross,9
26-35,Tania Aebi,9
26-35,A. L. Singer,9
26-35,Daniel Woodrell,9
26-35,Matilde Asensi,9
26-35,Greg Critser,9
26-35,Joyce Egginton,9
26-35,Bill Bright,9
26-35,Bill Broady,9
26-35,Daniel J. Boorstin,9
26-35,Robert van Gulik,9
26-35,A. C. H. Smith,9
26-35,Mary S. Lovell,9
26-35,Mary Rodgers,9
26-35,Fedor Dostoevsky,9
26-35,Mary Logue,9
26-35,Danelle Harmon,9
26-35,Dandi Daley MacKall,9
26-35,Donald Hall,9
26-35,Robin Gideon,9
26-35,Gustavus Hindman Miller,9
26-35,Mary Kittredge,9
26-35,Slavomir Rawicz,9
26-35,Dana Corbit,9
26-35,Bill Maher,9
26-35,Dan Yates,9
26-35,Bill McCay,9
26-35,John Boswell,9
26-35,stephen R Donaldson,9
26-35,Mary Freeman,9
26-35,Gwenda Blair,9
26-35,Mary Ann Hoberman,9
26-35,Mary Ann Dudko,9
26-35,Zoe Valdes,9
26-35,Tabor Evans,9
26-35,August Strindberg,9
26-35,H. G. Bissinger,9
26-35,Martyn Godfrey,9
26-35,Joanne Bertin,9
26-35,Zhou Wei Hui,9
26-35,Bill Shoemaker,9
26-35,Frank W. Abagnale,9
26-35,Zane,9
26-35,Roderick MacLeish,9
26-35,Martin Luther,9
26-35,Sogyal Rinpoche,9
26-35,Theresa Scott,9
26-35,Soheir Khashoggi,9
26-35,H.C. Andersen,9
26-35,Martin Handford,9
26-35,H.F. Saint,9
26-35,Joseph Skibell,9
26-35,H.G. Wells,9
26-35,Nicholas Royle,9
26-35,Dalma Heyn,9
26-35,TONY HORWITZ,9
26-35,Diana Hall,9
26-35,Nancy White,9
26-35,Martha Sacks,9
26-35,Roger Highfield,9
26-35,Janine Boissard,9
26-35,Yasar Kemal,9
26-35,Faith Sullivan,9
26-35,Hank Searls,9
26-35,Hannah Arendt,9
26-35,Mark Winegardner,9
26-35,Mark Victor Hansen,9
26-35,Dacia Maraini,9
26-35,Janet Craig,9
26-35,Mark Sumner,9
26-35,Mark S. Bernthal,9
26-35,Mark Joseph,9
26-35,DENNIS MILLER,9
26-35,John Allen Paulos,9
26-35,Jeanne Rose,9
26-35,Nick Butterworth,9
26-35,Rolf Wilhelm Brednich,9
26-35,Marissa Piesman,9
26-35,DAVID MORRELL,9
26-35,DAVID ALMOND,9
26-35,William Wegman,9
26-35,DANA REEVE,9
26-35,DAN BROWN,9
26-35,Carolyn Banks,9
26-35,William Upski Wimsatt,9
26-35,Murasaki Shikibu,9
26-35,William Taylor,9
26-35,William T. Vollmann,9
26-35,Ron Roy,9
26-35,Marianne Willman,9
26-35,T.L. Mancour,9
26-35,Mariann Fredriksson,9
26-35,T.J. MacGregor,9
26-35,Maria Amparo Escandon,9
26-35,Thaddeus Carhart,9
26-35,Mari Sandoz,9
26-35,William R. Maples,9
26-35,Sun Bear,9
26-35,Ronald Reagan,9
26-35,Margaret Westhaven,9
26-35,Margaret Watson,9
26-35,Margaret Visser,9
26-35,Margaret Moseley,9
26-35,Nick Tosches,9
26-35,Margaret Mead,9
26-35,Donna Fletcher Crow,9
26-35,Nicky Cruz,9
26-35,Bob Smith,9
26-35,Marele Day,9
26-35,William K. Durr,9
26-35,William Joyce,9
26-35,T. Luca De Tena,9
26-35,William James,9
26-35,Helen Fremont,9
26-35,Nicola Thorne,9
26-35,Plenzdorf,9
26-35,Amye Rosenberg,9
26-35,Marcia Jones,9
26-35,Czeslaw Milosz,9
26-35,Rosamund Pilcher,9
26-35,Helen Mittermeyer,9
26-35,Marc Shapiro,9
26-35,Marc Parent,9
26-35,Joan Stimson,9
26-35,Thom Jones,9
26-35,Johanna Reiss,9
26-35,Jonathon King,9
26-35,Donna Partow,9
26-35,Cynthia Ozick,9
26-35,Mother Teresa,9
26-35,William Glasser,9
26-35,T. H. Lain,9
26-35,Jonathan Tropper,9
26-35,Raymond A. Moody,9
26-35,Manda Scott,9
26-35,William F., Jr. Buckley,9
26-35,William F. Nolan,9
26-35,William F. Buckley Jr.,9
26-35,Fred Gipson,9
26-35,Maggie Furey,9
26-35,John D Macdonald,9
26-35,Maeve Haran,9
26-35,Jeffrey Hollender,9
26-35,Janell Cannon,9
26-35,Henry Horrock,9
26-35,William Brinkley,9
26-35,Raymond Briggs,9
26-35,Anders Henriksson,9
26-35,Booker T. Washington,9
26-35,MILLIE CRISWELL,9
26-35,MICHAEL SHAARA,9
26-35,Morton Kondracke,9
26-35,William Abrahams,9
26-35,MICHAEL POLLAN,9
26-35,Cristina Garcia,9
26-35,MARJORIE HOLMES,9
26-35,Alice Alfonsi,9
26-35,Cristina Bjork,9
26-35,Stacey Ballis,9
26-35,Jeffrey Steingarten,9
26-35,MAGGIE OSBORNE,9
26-35,M.C. Beaton,9
26-35,Herve Bazin,9
26-35,Johnny Hart,9
26-35,Lynn Michaels,9
26-35,Montague Rhodes James,9
26-35,Nancy Moser,9
26-35,Lynn Freed,9
26-35,Lynn Collum,9
26-35,Lynn Austin,9
26-35,Lynda Laplante,9
26-35,Lyall Watson,9
26-35,Horace Walpole,9
26-35,Evelyn Christenson,9
26-35,Luke David,9
26-35,Brandilyn Collins,9
26-35,Chaz Corzine,9
26-35,Howard Frank Mosher,9
26-35,Ruth Bell Graham,9
26-35,Doris Grumbach,9
26-35,Niki Anderson,9
26-35,Sylvia Boorstein,9
26-35,Lucy Clare,9
26-35,Pierre Bordage,9
26-35,Jane Waterhouse,9
26-35,Lucius Shepard,9
26-35,Cornelia Meigs,9
26-35,Cornelia Amiri,9
26-35,Cormac Mccarthy,9
26-35,Howard Pyle,9
26-35,Howard Rheingold,9
26-35,Luciana Littizzetto,9
26-35,Nikki Grimes,9
26-35,Jane Toombs,9
26-35,Lucian K. Truscott,9
26-35,Brenda Hiatt,9
26-35,Brenda Knight,9
26-35,Louise Marley,9
26-35,Ruth Ryan Langan,9
26-35,Louisa Luna,9
26-35,John Toland,9
26-35,Ruthie Bolton,9
26-35,Nikola Hahn,9
26-35,Louis Auchincloss,9
26-35,Ryanne Corey,9
26-35,Ryszard Kapuscinski,9
26-35,RyÃ?Â» Murakami,9
26-35,ISAK DINESEN,9
26-35,Evan Maxwell,9
26-35,Evan Marshall,9
26-35,John Stuart Mill,9
26-35,Arthur Herzog,9
26-35,Raffaella Barker,9
26-35,Caroline Alexander,9
26-35,Connie Briscoe,9
26-35,Ian Montgomery,9
26-35,Rachel Ford,9
26-35,Jim Sukach,9
26-35,Phyllis Curott,9
26-35,WILLIAM SARABANDE,9
26-35,Arthur Frommer,9
26-35,Brian Caswell,9
26-35,John Simpson,9
26-35,Lisa Samson,9
26-35,John Shirley,9
26-35,WALTER FARLEY,9
26-35,Suzy Spencer,9
26-35,Illiad,9
26-35,Rebecca Gable,9
26-35,SALLY MANDEL,9
26-35,Suzy McKee Charnas,9
26-35,Brian Fawcett,9
26-35,Thomas Berger,9
26-35,Niven,9
26-35,Jennifer Rowe,9
26-35,Lisa Goldstein,9
26-35,Brian Froud,9
26-35,India Edghill,9
26-35,Lionel Davidson,9
26-35,Linn Ullmann,9
26-35,Colin Fletcher,9
26-35,Colin Falconer,9
26-35,Noel Streatfeild,9
26-35,Linda Windsor,9
26-35,Linda Style,9
26-35,Linda Shaw,9
26-35,Frederick L. Allen,9
26-35,Brian Kaufman,9
26-35,VÃ­ctor E. VillaseÃ±or,9
26-35,STEPHEN CRANE,9
26-35,Voltair,9
26-35,Karen Haber,9
26-35,Clyde Robert Bulla,9
26-35,Linda Jaivin,9
26-35,STEVEN PRESSFIELD,9
26-35,Linda Ellerbee,9
26-35,John Reynolds Gardiner,9
26-35,Linda Davies,9
26-35,Isaac Adamson,9
26-35,Linda Barrett,9
26-35,Celeste Bradley,9
26-35,Virginie Despentes,9
26-35,Linda Anderson,9
26-35,Lincoln Child,9
26-35,Sabin Willett,9
26-35,Fredric Brown,9
26-35,Jenny Nimmo,9
26-35,Thomas Bulfinch,9
26-35,Lilian Darcy,9
26-35,Saki,9
26-35,Vincent Ravalec,9
26-35,Brian Thomsen,9
26-35,Julie Burchill,9
26-35,Dinty W. Moore,9
26-35,Clay Harvey,9
26-35,Jane Stern,9
26-35,Brian W. Aldiss,9
26-35,Leslie Feinberg,9
26-35,Carmen Posadas,9
26-35,John Powell,9
26-35,Ethan Coen,9
26-35,Leonard S. Goldberg,9
26-35,J. Douglas Arnold,9
26-35,Leonard B. Scott,9
26-35,Victor Ostrovsky,9
26-35,J. M. Synge,9
26-35,Susun S. Weed,9
26-35,J. Moussaieff Masson,9
26-35,Joe Mcginnis,9
26-35,Brittany Young,9
26-35,John O'Brien,9
26-35,Lee Bennett Hopkins,9
26-35,Norman Cousins,9
26-35,Sam Walton,9
26-35,Dion Fortune,9
26-35,Le Ly Hayslip,9
26-35,Fredrick D. Huebner,9
26-35,Susanne McCarthy,9
26-35,Samuel Richardson,9
26-35,Vanessa Grant,9
26-35,Laurie Gwen Shapiro,9
26-35,Van Reid,9
26-35,Calvin Miller,9
26-35,Doug Lowe,9
26-35,Laurence Leamer,9
26-35,JENNIFER EGAN,9
26-35,VICTORIA HOLT,9
26-35,Laurel Doud,9
26-35,Laurel Ames,9
26-35,Sandra Scofield,9
26-35,JOHN FITZGERALD,9
26-35,Chuck Klosterman,9
26-35,Laura Numeroff,9
26-35,Laura Lemay,9
26-35,Erskine Childers,9
26-35,JOHN STEVENS,9
26-35,JOSEPH HELLER,9
26-35,JUDY BLUNT,9
26-35,Bruce Pandolfini,9
26-35,Larry Weinberg,9
26-35,Jerry Mander,9
26-35,Sara Nickles,9
26-35,Christopher Reich,9
26-35,Thomas De Quincey,9
26-35,Jack Chalker,9
26-35,Jerry Oltion,9
26-35,Larry Baker,9
26-35,Larissa Lai,9
26-35,Christopher Phillips,9
26-35,Lara Rice Bergen,9
26-35,Ernesto Sabato,9
26-35,Jack M. Bickham,9
26-35,Ernesto Guevara,9
26-35,Christopher Lane,9
26-35,Jerry Scott,9
26-35,LAUREL THATCHER ULRICH,9
26-35,Reed Arvin,9
26-35,Stephanie Lehmann,9
26-35,Jaclyn Reding,9
26-35,L. Sprague De Camp,9
26-35,Sarah Stonich,9
26-35,Susan Slater,9
26-35,Molly Giles,9
26-35,Jacqueline Harpman,9
26-35,Didier Van Cauwelaert,9
26-35,L. A. Graf,9
26-35,Julianne Maclean,9
